0.201778	0.385989	2.68215	0	0.201778	0.385989	0.359997	0.600041	-4.80025	0.0016588	0.158219	0.214052	7.4824	0.0016588	0	0	0
0.220385	0.679579	2.67833	0.0598846	0.218966	0.686146	0.119984	0.600207	-4.80057	0.00497648	0.132502	0.161428	7.48065	0.0388436	0.0917087	0.0917087	0
-0.0845213	0.879876	0.710601	2.17284	-0.0814087	0.49792	-0.120044	0.600581	-4.801	0.00995308	0.110114	0.208266	6.88714	1.24915	8.23359	0.0917087	8.23359
-0.176237	0.779665	0.220676	1.73916	-0.306645	0.557228	-0.360093	0.601244	-4.80155	0.0165887	0.132456	0.20122	6.47149	1.38278	5.68405	5.68405	8.23359
-0.65335	0.676954	-2.68554	1.21909	-0.423231	0.382203	-0.60017	0.602281	-4.80221	0.0248832	0.120836	0.183049	5.86517	1.34718	52.9906	5.68405	52.9906
-0.787251	0.702768	-2.73554	1.00606	-0.920801	0.498185	-0.840279	0.603774	-4.80296	0.0348368	0.112412	0.171918	5.42026	1.29214	2.96716	2.96716	52.9906
-0.992431	0.661139	-3.32803	1.6304	-0.999175	0.569138	-1.08042	0.605806	-4.8038	0.0464493	0.109258	0.160533	5.04909	1.33773	28.1282	2.96716	28.1282
-1.16591	0.717104	-3.49446	1.21383	-1.21709	0.564086	-1.32061	0.608459	-4.80472	0.0597206	0.115916	0.155	4.74565	1.31618	1.29896	1.29896	28.1282
-1.44173	0.689155	-3.98455	-0.0225216	-1.31575	0.565548	-1.56084	0.611818	-4.8057	0.0746505	0.116275	0.148392	4.48261	1.24133	9.2289	1.29896	9.2289
-1.61771	0.671479	-3.9078	-0.406828	-1.46626	0.627215	-1.80112	0.615965	-4.80673	0.0912385	0.124627	0.141867	4.26207	1.18811	1.25795	1.25795	9.2289
-1.86372	0.687352	-4.08036	-0.320789	-1.76309	0.586975	-2.04145	0.620982	-4.80778	0.109484	0.130352	0.136737	4.06964	1.14023	12.14	1.25795	12.14
-2.09431	0.681787	-4.11645	-0.55392	-2.28461	0.787442	-2.28182	0.626953	-4.80884	0.129387	0.136036	0.131869	3.9015	1.10936	2.43508	2.43508	12.14
-2.38879	0.593045	-4.23059	-1.11115	-2.50204	0.4664	-2.52225	0.63396	-4.80989	0.150946	0.13584	0.127203	3.75189	1.12185	15.8452	2.43508	15.8452
-2.61909	0.590192	-4.25868	-1.03687	-2.7473	0.847233	-2.76273	0.642086	-4.81089	0.174159	0.136411	0.123358	3.61842	1.12845	4.47496	4.47496	15.8452
-2.89079	0.641691	-4.39197	-0.55121	-3.65705	0.865703	-3.00325	0.651414	-4.81184	0.199026	0.134947	0.119202	3.4974	1.10727	11.5797	4.47496	11.5797
-3.1382	0.669969	-4.42956	-0.352432	-3.30883	0.881059	-3.24381	0.662026	-4.8127	0.225545	0.133303	0.115434	3.3877	1.0818	4.0499	4.0499	11.5797
-3.39073	0.642791	-4.48204	-0.438722	-3.47146	0.613185	-3.48441	0.674004	-4.81344	0.253712	0.131304	0.112243	3.28754	1.06285	2.35515	4.0499	2.35515
-3.63478	0.56376	-4.48977	-0.789954	-3.76347	0.400296	-3.72504	0.687432	-4.81403	0.283526	0.129366	0.112908	3.19583	1.06344	2.44642	2.44642	2.35515
-3.88196	0.644922	-4.53885	-0.265038	-3.79537	0.758312	-3.9657	0.702391	-4.81445	0.314984	0.127372	0.110685	3.11123	1.0436	5.78068	2.44642	5.78068
-4.15499	0.578594	-4.59633	-0.533012	-4.43196	0.438228	-4.20636	0.718963	-4.81465	0.348081	0.124677	0.112355	3.03285	1.03608	5.19073	5.19073	5.78068
-4.40083	0.586225	-4.62345	-0.41239	-4.35973	0.613548	-4.44703	0.73723	-4.81461	0.382812	0.12209	0.114492	2.96005	1.02589	1.87	5.19073	1.87
